order_id,order_date,city,dark_store,category,time_slot,order_type,items,rating,tip,order_value,delivery_min,courier_id
ORD-27,2024-11-07,Chennai,DS-07,Frozen,Night,Standard,2,4,0,351,25,CR-146
ORD-28,2024-07-02,Mumbai,DS-04,Dairy,Night,Express,6,5,20,602,25,CR-180
ORD-29,2024-02-09,Chennai,DS-03,Grocery,Night,Express,2,5,10,411,27,CR-61
ORD-30,2024-11-09,Bengaluru,DS-01,Beverages,Afternoon,Standard,6,5,20,444,16,CR-13
ORD-31,2024-11-16,Mumbai,DS-04,Dairy,Night,Standard,2,4,20,349,25,CR-208
ORD-32,2024-01-02,Hyderabad,DS-05,Frozen,Evening,Standard,5,3,0,474,18,CR-183
ORD-33,2024-01-20,Chennai,DS-05,Frozen,Morning,Standard,4,4,30,633,17,CR-25
ORD-34,2024-03-19,Delhi,DS-07,Beverages,Night,Express,1,3,0,497,34,CR-129
ORD-35,2024-01-26,Pune,DS-01,Personal Care,Afternoon,Standard,3,4,10,553,29,CR-77
ORD-36,2024-09-15,Hyderabad,DS-07,Beverages,Night,Express,1,4,30,544,31,CR-144
ORD-37,2024-05-01,Delhi,DS-08,Beverages,Night,Express,3,5,10,375,22,CR-152
ORD-38,2024-11-15,Delhi,DS-03,Grocery,Night,Standard,3,4,0,376,27,CR-80
ORD-39,2024-08-25,Hyderabad,DS-02,Frozen,Morning,Express,3,4,0,370,16,CR-65
ORD-40,2024-03-20,Mumbai,DS-02,Snacks,Afternoon,Standard,3,4,20,433,11,CR-4
ORD-41,2024-12-28,Delhi,DS-03,Snacks,Night,Express,5,5,20,281,17,CR-77
ORD-42,2024-07-13,Chennai,DS-02,Dairy,Night,Standard,4,4,10,405,33,CR-125
ORD-43,2024-09-17,Delhi,DS-05,Beverages,Afternoon,Standard,6,4,20,407,22,CR-106
ORD-44,2024-05-20,Hyderabad,DS-05,Frozen,Night,Express,5,4,0,634,27,CR-68
ORD-45,2024-05-12,Chennai,DS-04,Personal Care,Afternoon,Express,1,4,30,216,13,CR-32
ORD-46,2024-08-04,Delhi,DS-02,Snacks,Evening,Standard,1,4,30,621,13,CR-200
ORD-47,2024-10-23,Delhi,DS-05,Grocery,Morning,Standard,5,3,30,404,26,CR-182
ORD-48,2024-05-11,Pune,DS-04,Beverages,Evening,Standard,3,3,0,462,29,CR-94
ORD-49,2024-08-12,Mumbai,DS-02,Dairy,Morning,Standard,6,4,10,464,18,CR-142
ORD-50,2024-09-06,Hyderabad,DS-01,Household,Night,Standard,5,4,30,311,11,CR-68
ORD-51,2024-06-06,Delhi,DS-08,Household,Afternoon,Express,1,4,0,605,19,CR-126
ORD-52,2024-02-11,Delhi,DS-07,Beverages,Evening,Standard,4,4,10,528,27,CR-199
ORD-53,2024-11-01,Pune,DS-06,Grocery,Morning,Express,2,3,10,375,10,CR-154
ORD-54,2024-07-28,Hyderabad,DS-01,Household,Evening,Standard,5,4,30,90,31,CR-61
ORD-55,2024-03-11,Chennai,DS-08,Snacks,Morning,Standard,5,5,30,540,17,CR-67
ORD-56,2024-12-22,Delhi,DS-03,Personal Care,Night,Standard,1,5,10,552,24,CR-125
ORD-57,2024-07-18,Pune,DS-07,Snacks,Afternoon,Express,3,5,30,543,19,CR-187
ORD-58,2024-01-07,Bengaluru,DS-04,Dairy,Night,Standard,5,3,30,446,27,CR-71
ORD-59,2024-05-24,Chennai,DS-03,Frozen,Morning,Standard,6,4,30,624,26,CR-39
ORD-60,2024-04-15,Bengaluru,DS-01,Grocery,Morning,Standard,1,5,20,507,13,CR-145
ORD-61,2024-09-25,Mumbai,DS-07,Frozen,Afternoon,Express,2,4,10,317,24,CR-16
ORD-62,2024-08-14,Hyderabad,DS-02,Frozen,Afternoon,Standard,5,3,0,261,18,CR-91
ORD-63,2024-08-05,Bengaluru,DS-04,Household,Night,Express,2,5,10,395,19,CR-100
ORD-64,2024-12-19,Chennai,DS-08,Beverages,Morning,Standard,2,4,30,388,26,CR-22
ORD-65,2024-11-11,Mumbai,DS-07,Frozen,Night,Express,6,3,30,473,40,CR-36
ORD-66,2024-10-13,Hyderabad,DS-06,Dairy,Morning,Standard,1,4,30,660,20,CR-140
ORD-67,2024-01-13,Chennai,DS-04,Household,Night,Standard,1,5,30,502,32,CR-61
ORD-68,2024-07-12,Mumbai,DS-06,Frozen,Morning,Express,5,4,10,645,22,CR-119
ORD-69,2024-10-02,Mumbai,DS-05,Household,Afternoon,Express,2,3,20,534,14,CR-123
ORD-70,2024-11-07,Bengaluru,DS-07,Dairy,Evening,Express,4,5,20,412,27,CR-52
ORD-71,2024-03-14,Mumbai,DS-05,Dairy,Night,Express,4,5,10,320,26,CR-47
ORD-72,2024-07-04,Pune,DS-08,Dairy,Evening,Standard,2,3,20,588,20,CR-115
ORD-73,2024-02-10,Bengaluru,DS-07,Snacks,Afternoon,Express,6,3,10,478,24,CR-65
ORD-74,2024-10-17,Hyderabad,DS-02,Snacks,Morning,Standard,2,5,10,421,23,CR-85
ORD-75,2024-08-06,Pune,DS-02,Personal Care,Morning,Express,3,4,20,452,11,CR-194
ORD-76,2024-10-24,Hyderabad,DS-02,Dairy,Night,Standard,4,3,0,377,25,CR-100
ORD-77,2024-03-01,Hyderabad,DS-04,Beverages,Afternoon,Express,6,3,30,555,13,CR-2
ORD-78,2024-02-25,Delhi,DS-02,Dairy,Morning,Express,4,5,0,419,22,CR-193
ORD-79,2024-11-22,Bengaluru,DS-05,Household,Night,Standard,3,2,0,243,36,CR-122
ORD-80,2024-01-26,Pune,DS-06,Dairy,Morning,Standard,1,3,30,306,23,CR-141
ORD-81,2024-08-17,Hyderabad,DS-07,Grocery,Evening,Express,3,3,20,561,30,CR-123
ORD-82,2024-11-10,Mumbai,DS-01,Grocery,Afternoon,Standard,1,4,20,275,17,CR-42
ORD-83,2024-02-19,Delhi,DS-07,Grocery,Afternoon,Express,3,5,30,482,34,CR-148
ORD-84,2024-09-07,Hyderabad,DS-05,Personal Care,Morning,Standard,2,5,30,431,29,CR-179
ORD-85,2024-11-23,Mumbai,DS-05,Household,Night,Standard,1,4,10,586,23,CR-37
ORD-86,2024-10-16,Pune,DS-02,Snacks,Morning,Standard,2,4,0,493,25,CR-135
ORD-87,2024-10-13,Mumbai,DS-01,Snacks,Morning,Express,1,3,10,311,13,CR-85
ORD-88,2024-03-17,Bengaluru,DS-04,Household,Night,Express,4,5,30,507,23,CR-157
ORD-89,2024-05-17,Delhi,DS-01,Household,Morning,Express,3,3,10,299,10,CR-140
ORD-90,2024-12-05,Mumbai,DS-08,Personal Care,Evening,Standard,2,5,20,240,16,CR-10
ORD-91,2024-01-06,Bengaluru,DS-07,Snacks,Evening,Express,3,4,30,460,26,CR-196
ORD-92,2024-11-08,Pune,DS-05,Frozen,Morning,Standard,1,5,0,352,19,CR-159
ORD-93,2024-03-10,Bengaluru,DS-02,Household,Morning,Express,4,3,20,473,12,CR-182
ORD-94,2024-01-28,Chennai,DS-08,Dairy,Evening,Standard,4,3,30,458,6,CR-55
ORD-95,2024-08-08,Bengaluru,DS-07,Beverages,Morning,Express,4,2,10,681,40,CR-58
ORD-96,2024-11-05,Delhi,DS-01,Beverages,Morning,Express,5,5,0,490,19,CR-31
ORD-97,2024-01-09,Delhi,DS-08,Beverages,Night,Express,2,3,0,643,16,CR-91
ORD-98,2024-09-07,Pune,DS-03,Beverages,Night,Standard,5,5,10,150,30,CR-1
ORD-99,2024-08-25,Hyderabad,DS-03,Snacks,Evening,Standard,2,5,10,419,27,CR-192
ORD-100,2024-08-02,Chennai,DS-04,Dairy,Night,Standard,4,4,30,488,28,CR-203
ORD-101,2024-02-11,Mumbai,DS-06,Snacks,Night,Standard,2,5,10,380,28,CR-74
ORD-102,2024-04-04,Bengaluru,DS-03,Dairy,Night,Express,4,4,10,236,22,CR-5
ORD-103,2024-11-18,Pune,DS-03,Household,Evening,Standard,1,5,10,298,20,CR-42
ORD-104,2024-12-28,Bengaluru,DS-06,Grocery,Night,Standard,1,3,10,224,39,CR-133
ORD-105,2024-12-19,Bengaluru,DS-04,Snacks,Afternoon,Express,5,4,10,461,12,CR-95
ORD-106,2024-09-27,Chennai,DS-01,Household,Evening,Standard,3,5,20,375,27,CR-137
ORD-107,2024-06-02,Mumbai,DS-04,Beverages,Night,Express,1,4,20,390,29,CR-189
ORD-108,2024-09-18,Bengaluru,DS-08,Dairy,Evening,Express,5,5,20,358,19,CR-141
ORD-109,2024-04-24,Bengaluru,DS-07,Grocery,Night,Standard,1,2,0,330,45,CR-72
ORD-110,2024-11-02,Hyderabad,DS-06,Beverages,Morning,Standard,3,5,0,296,21,CR-174
ORD-111,2024-12-17,Hyderabad,DS-01,Frozen,Evening,Standard,4,4,20,559,28,CR-62
ORD-112,2024-06-12,Pune,DS-01,Snacks,Afternoon,Express,2,3,20,246,16,CR-93
ORD-113,2024-04-13,Pune,DS-04,Beverages,Morning,Express,2,5,30,488,12,CR-10
ORD-114,2024-07-24,Hyderabad,DS-01,Household,Afternoon,Standard,2,3,30,434,25,CR-54
ORD-115,2024-02-08,Hyderabad,DS-08,Frozen,Evening,Express,5,3,10,297,10,CR-78
ORD-116,2024-06-15,Hyderabad,DS-03,Frozen,Afternoon,Express,2,3,30,751,17,CR-37
ORD-117,2024-01-26,Hyderabad,DS-01,Frozen,Afternoon,Standard,5,3,30,479,26,CR-181
ORD-118,2024-03-09,Hyderabad,DS-03,Personal Care,Night,Express,1,4,30,384,22,CR-174
ORD-119,2024-04-25,Hyderabad,DS-04,Beverages,Morning,Express,5,4,0,351,12,CR-139
ORD-120,2024-06-16,Bengaluru,DS-05,Personal Care,Evening,Standard,3,4,10,397,29,CR-79
ORD-121,2024-01-21,Chennai,DS-03,Beverages,Evening,Express,6,5,0,460,16,CR-116
ORD-122,2024-12-03,Mumbai,DS-04,Household,Evening,Standard,1,4,0,428,24,CR-18
ORD-123,2024-02-02,Mumbai,DS-01,Beverages,Evening,Standard,2,4,0,313,16,CR-153
ORD-124,2024-06-26,Mumbai,DS-06,Beverages,Night,Standard,5,5,0,511,25,CR-134
ORD-125,2024-12-08,Pune,DS-06,Dairy,Afternoon,Express,5,5,20,384,9,CR-100
ORD-126,2024-01-10,Bengaluru,DS-04,Household,Night,Express,6,5,10,433,16,CR-82
ORD-127,2024-12-18,Delhi,DS-02,Grocery,Night,Standard,3,1,10,562,42,CR-125
ORD-128,2024-05-17,Hyderabad,DS-04,Household,Night,Standard,3,4,20,459,26,CR-52
ORD-129,2024-03-03,Delhi,DS-08,Beverages,Evening,Express,6,4,10,177,18,CR-114
ORD-130,2024-05-22,Chennai,DS-01,Household,Night,Express,1,5,10,278,26,CR-104
ORD-131,2024-10-03,Delhi,DS-05,Beverages,Evening,Express,3,5,30,492,24,CR-94
ORD-132,2024-05-14,Delhi,DS-05,Frozen,Evening,Express,3,3,10,207,14,CR-204
ORD-133,2024-10-04,Delhi,DS-04,Frozen,Evening,Standard,3,3,20,445,23,CR-216
ORD-134,2024-12-20,Chennai,DS-04,Snacks,Night,Standard,5,4,10,570,18,CR-211
ORD-135,2024-06-20,Chennai,DS-03,Personal Care,Afternoon,Express,5,5,0,232,13,CR-159
ORD-136,2024-12-23,Pune,DS-01,Beverages,Night,Standard,1,3,30,262,31,CR-51
ORD-137,2024-03-06,Bengaluru,DS-07,Frozen,Night,Express,1,1,10,308,42,CR-187
ORD-138,2024-03-19,Mumbai,DS-03,Grocery,Afternoon,Standard,6,3,0,562,29,CR-72
ORD-139,2024-03-07,Mumbai,DS-03,Frozen,Morning,Express,4,5,0,395,19,CR-194
ORD-140,2024-08-10,Chennai,DS-05,Grocery,Evening,Express,5,3,20,404,18,CR-170
ORD-141,2024-06-08,Chennai,DS-07,Household,Morning,Standard,2,3,20,402,33,CR-118
ORD-142,2024-02-22,Bengaluru,DS-03,Household,Morning,Express,1,4,20,641,19,CR-59
ORD-143,2024-02-21,Pune,DS-08,Dairy,Evening,Express,2,5,10,227,18,CR-14
ORD-144,2024-05-19,Chennai,DS-02,Frozen,Evening,Express,2,5,20,600,18,CR-198
ORD-145,2024-11-17,Chennai,DS-06,Personal Care,Night,Express,6,5,20,228,22,CR-45
ORD-146,2024-04-28,Bengaluru,DS-01,Dairy,Night,Standard,6,3,10,503,25,CR-116
ORD-147,2024-05-16,Bengaluru,DS-04,Snacks,Morning,Standard,4,5,0,306,23,CR-202
ORD-148,2024-06-27,Mumbai,DS-02,Personal Care,Morning,Standard,3,3,30,387,28,CR-6
ORD-149,2024-02-24,Bengaluru,DS-02,Household,Night,Standard,1,4,10,544,22,CR-10
ORD-150,2024-05-24,Mumbai,DS-03,Personal Care,Evening,Standard,1,4,30,273,14,CR-10
ORD-151,2024-10-10,Hyderabad,DS-07,Frozen,Night,Standard,6,3,10,535,38,CR-213
ORD-152,2024-11-02,Hyderabad,DS-01,Frozen,Evening,Standard,1,4,0,392,22,CR-174
ORD-153,2024-01-10,Hyderabad,DS-02,Personal Care,Night,Express,6,4,20,174,19,CR-96
ORD-154,2024-05-16,Mumbai,DS-04,Frozen,Afternoon,Standard,1,5,0,490,23,CR-62
ORD-155,2024-03-11,Chennai,DS-06,Grocery,Morning,Express,2,3,20,239,20,CR-137
ORD-156,2024-04-22,Delhi,DS-03,Dairy,Morning,Express,6,5,20,119,19,CR-108
ORD-157,2024-09-20,Bengaluru,DS-06,Personal Care,Night,Express,5,5,10,767,22,CR-161
ORD-158,2024-11-19,Chennai,DS-02,Frozen,Night,Standard,3,5,30,597,33,CR-187
ORD-159,2024-06-26,Mumbai,DS-06,Personal Care,Evening,Standard,1,5,10,385,20,CR-108
ORD-160,2024-06-09,Mumbai,DS-06,Household,Morning,Express,4,5,30,472,13,CR-55
ORD-161,2024-01-02,Pune,DS-04,Snacks,Afternoon,Express,3,5,20,477,9,CR-83
ORD-162,2024-11-25,Mumbai,DS-01,Frozen,Morning,Standard,1,4,10,308,28,CR-160
ORD-163,2024-07-01,Mumbai,DS-02,Personal Care,Morning,Standard,1,4,10,519,22,CR-169
ORD-164,2024-06-10,Pune,DS-01,Grocery,Afternoon,Express,2,4,0,409,12,CR-194
ORD-165,2024-03-18,Chennai,DS-02,Snacks,Morning,Standard,4,5,0,389,21,CR-50
ORD-166,2024-05-07,Pune,DS-05,Snacks,Night,Express,1,3,30,375,21,CR-19
ORD-167,2024-03-03,Bengaluru,DS-06,Household,Afternoon,Standard,1,5,0,497,17,CR-212
ORD-168,2024-09-17,Pune,DS-05,Personal Care,Morning,Express,4,5,30,259,7,CR-120
ORD-169,2024-06-18,Delhi,DS-04,Personal Care,Morning,Express,6,3,30,314,21,CR-45
ORD-170,2024-04-28,Mumbai,DS-02,Snacks,Night,Express,3,3,20,414,24,CR-207
ORD-171,2024-02-16,Delhi,DS-02,Household,Afternoon,Standard,1,3,20,779,28,CR-143
ORD-172,2024-07-05,Hyderabad,DS-03,Household,Afternoon,Standard,2,3,10,424,16,CR-145
ORD-173,2024-04-26,Bengaluru,DS-03,Personal Care,Morning,Express,3,5,0,409,23,CR-9
ORD-174,2024-12-15,Mumbai,DS-03,Beverages,Afternoon,Express,5,5,0,256,13,CR-126
ORD-175,2024-07-27,Chennai,DS-07,Household,Afternoon,Express,2,3,10,510,20,CR-216
ORD-176,2024-09-08,Mumbai,DS-07,Beverages,Afternoon,Express,4,5,10,270,24,CR-86
ORD-177,2024-12-25,Delhi,DS-07,Grocery,Afternoon,Standard,4,3,0,270,31,CR-112
ORD-178,2024-06-08,Delhi,DS-07,Grocery,Morning,Standard,3,3,30,535,31,CR-218
ORD-179,2024-09-26,Pune,DS-06,Personal Care,Night,Express,3,3,10,594,16,CR-174
ORD-180,2024-06-21,Delhi,DS-04,Household,Afternoon,Express,4,3,0,685,19,CR-187
ORD-181,2024-12-19,Delhi,DS-08,Snacks,Morning,Standard,1,5,20,382,23,CR-197
ORD-182,2024-01-09,Bengaluru,DS-04,Dairy,Afternoon,Express,2,3,0,327,15,CR-15
ORD-183,2024-08-20,Mumbai,DS-07,Snacks,Morning,Standard,1,4,0,330,33,CR-23
ORD-184,2024-11-07,Delhi,DS-06,Grocery,Morning,Standard,3,3,20,415,34,CR-38
ORD-185,2024-02-16,Bengaluru,DS-03,Beverages,Night,Standard,6,3,30,562,21,CR-3
ORD-186,2024-07-14,Delhi,DS-04,Household,Evening,Standard,3,4,30,450,29,CR-90
ORD-187,2024-05-28,Chennai,DS-05,Grocery,Evening,Express,3,4,30,382,10,CR-17
ORD-188,2024-04-21,Bengaluru,DS-06,Household,Evening,Standard,3,5,20,567,12,CR-202
ORD-189,2024-01-21,Chennai,DS-07,Personal Care,Afternoon,Express,2,1,20,450,36,CR-104
ORD-190,2024-10-24,Mumbai,DS-03,Household,Night,Standard,4,1,20,339,38,CR-63
ORD-191,2024-08-16,Bengaluru,DS-03,Household,Night,Standard,3,3,0,411,22,CR-216
ORD-192,2024-01-06,Delhi,DS-08,Beverages,Evening,Standard,5,4,10,361,25,CR-21
ORD-193,2024-10-27,Bengaluru,DS-07,Grocery,Night,Express,5,3,30,532,28,CR-143
ORD-194,2024-10-06,Pune,DS-04,Beverages,Morning,Express,3,3,10,219,20,CR-163
ORD-195,2024-01-02,Hyderabad,DS-02,Frozen,Morning,Express,1,4,0,388,9,CR-39
ORD-196,2024-06-28,Chennai,DS-04,Household,Evening,Express,1,3,30,593,22,CR-123
ORD-197,2024-09-15,Chennai,DS-06,Dairy,Afternoon,Standard,2,4,20,313,14,CR-25
ORD-198,2024-01-22,Pune,DS-07,Grocery,Morning,Standard,2,3,10,492,23,CR-129
ORD-199,2024-02-18,Bengaluru,DS-01,Dairy,Evening,Standard,1,5,0,330,16,CR-41
ORD-200,2024-08-03,Mumbai,DS-06,Frozen,Afternoon,Express,2,4,30,281,17,CR-218
ORD-201,2024-01-16,Bengaluru,DS-03,Personal Care,Evening,Standard,1,5,30,151,28,CR-91
ORD-202,2024-10-05,Delhi,DS-08,Grocery,Night,Express,2,3,0,304,30,CR-123
ORD-203,2024-02-03,Delhi,DS-03,Beverages,Morning,Standard,5,3,30,585,28,CR-116
ORD-204,2024-03-24,Chennai,DS-07,Frozen,Afternoon,Express,2,3,20,262,25,CR-166
ORD-205,2024-10-12,Pune,DS-02,Grocery,Morning,Standard,4,4,20,638,30,CR-99
ORD-206,2024-04-05,Delhi,DS-02,Grocery,Evening,Express,6,4,0,131,13,CR-207
ORD-207,2024-11-15,Delhi,DS-02,Dairy,Afternoon,Express,2,4,30,308,10,CR-3
ORD-208,2024-06-16,Pune,DS-03,Grocery,Evening,Standard,4,3,0,50,14,CR-2
ORD-209,2024-08-26,Hyderabad,DS-06,Beverages,Night,Express,2,5,0,305,26,CR-74
ORD-210,2024-04-05,Delhi,DS-08,Beverages,Afternoon,Standard,5,5,0,460,22,CR-79
ORD-211,2024-05-12,Pune,DS-07,Beverages,Night,Express,1,4,10,311,26,CR-85
ORD-212,2024-10-24,Mumbai,DS-06,Dairy,Morning,Standard,4,4,20,425,19,CR-75
ORD-213,2024-01-15,Mumbai,DS-07,Frozen,Night,Express,2,3,30,367,32,CR-211
ORD-214,2024-10-18,Bengaluru,DS-03,Dairy,Afternoon,Standard,4,4,0,449,20,CR-92
ORD-215,2024-06-15,Hyderabad,DS-07,Snacks,Night,Express,5,2,20,508,37,CR-16
ORD-216,2024-06-17,Pune,DS-05,Personal Care,Evening,Standard,2,4,0,245,22,CR-178
ORD-217,2024-12-09,Delhi,DS-07,Personal Care,Morning,Standard,6,5,10,538,31,CR-107
ORD-218,2024-07-28,Chennai,DS-01,Personal Care,Afternoon,Express,3,5,30,470,22,CR-179
ORD-219,2024-11-16,Pune,DS-07,Grocery,Evening,Express,6,3,10,290,33,CR-205
ORD-220,2024-09-12,Hyderabad,DS-05,Frozen,Night,Express,1,3,30,273,23,CR-78
ORD-221,2024-07-09,Hyderabad,DS-05,Personal Care,Night,Express,6,3,20,642,33,CR-147
ORD-222,2024-04-08,Chennai,DS-02,Snacks,Night,Express,6,5,0,624,23,CR-68
ORD-223,2024-11-11,Chennai,DS-01,Grocery,Evening,Standard,1,5,0,251,24,CR-13
ORD-224,2024-10-19,Mumbai,DS-02,Household,Night,Standard,3,5,0,463,29,CR-98
ORD-225,2024-12-21,Bengaluru,DS-08,Beverages,Morning,Express,5,4,10,378,15,CR-99
ORD-226,2024-09-01,Bengaluru,DS-08,Dairy,Night,Standard,6,4,10,438,29,CR-192
ORD-227,2024-12-16,Chennai,DS-06,Grocery,Night,Standard,4,3,10,401,33,CR-18
ORD-228,2024-10-16,Pune,DS-07,Snacks,Afternoon,Standard,5,5,10,300,28,CR-13
ORD-229,2024-11-08,Chennai,DS-08,Household,Night,Express,6,5,10,447,26,CR-203
ORD-230,2024-10-13,Delhi,DS-04,Personal Care,Afternoon,Standard,3,3,20,612,15,CR-142
ORD-231,2024-12-03,Mumbai,DS-07,Beverages,Evening,Standard,4,1,20,423,41,CR-118
ORD-232,2024-12-11,Hyderabad,DS-06,Frozen,Night,Express,1,5,0,642,31,CR-103
ORD-233,2024-03-12,Mumbai,DS-07,Household,Night,Standard,1,2,0,535,39,CR-205
ORD-234,2024-08-06,Mumbai,DS-04,Household,Evening,Express,2,5,10,342,14,CR-166
ORD-235,2024-01-12,Mumbai,DS-05,Frozen,Morning,Express,4,5,10,457,8,CR-207
ORD-236,2024-07-01,Hyderabad,DS-07,Personal Care,Evening,Express,1,5,10,213,18,CR-93
ORD-237,2024-01-05,Pune,DS-03,Frozen,Afternoon,Express,6,4,30,168,10,CR-29
ORD-238,2024-09-08,Chennai,DS-08,Household,Night,Express,1,4,30,281,26,CR-190
ORD-239,2024-01-23,Mumbai,DS-08,Dairy,Morning,Standard,6,5,0,399,30,CR-43
ORD-240,2024-04-18,Delhi,DS-06,Household,Morning,Standard,2,5,30,213,28,CR-50
ORD-241,2024-07-12,Mumbai,DS-07,Beverages,Morning,Express,4,4,20,439,31,CR-70
ORD-242,2024-04-20,Bengaluru,DS-04,Snacks,Afternoon,Standard,2,3,0,359,22,CR-22
ORD-243,2024-11-18,Bengaluru,DS-05,Household,Morning,Standard,5,4,20,576,23,CR-171
ORD-244,2024-11-04,Bengaluru,DS-04,Personal Care,Afternoon,Express,3,3,10,315,23,CR-98
ORD-245,2024-03-18,Hyderabad,DS-06,Personal Care,Afternoon,Express,6,4,0,550,15,CR-100
ORD-246,2024-06-27,Hyderabad,DS-08,Snacks,Night,Standard,3,5,10,491,28,CR-213
ORD-247,2024-03-06,Pune,DS-06,Frozen,Afternoon,Standard,1,5,10,365,20,CR-40
ORD-248,2024-07-06,Bengaluru,DS-06,Personal Care,Afternoon,Standard,4,5,20,591,27,CR-12
ORD-249,2024-12-03,Hyderabad,DS-08,Beverages,Evening,Express,6,4,20,578,16,CR-83
ORD-250,2024-04-08,Mumbai,DS-05,Beverages,Evening,Express,2,3,30,585,17,CR-41
ORD-251,2024-03-24,Pune,DS-06,Beverages,Morning,Standard,4,3,30,426,18,CR-39
ORD-252,2024-07-18,Bengaluru,DS-04,Frozen,Night,Standard,3,1,10,429,35,CR-97
ORD-253,2024-06-17,Mumbai,DS-08,Beverages,Morning,Express,3,3,0,293,21,CR-20
ORD-254,2024-01-20,Hyderabad,DS-07,Personal Care,Evening,Standard,6,2,20,526,37,CR-161
ORD-255,2024-02-07,Pune,DS-04,Frozen,Night,Standard,6,5,0,338,27,CR-45
ORD-256,2024-10-24,Hyderabad,DS-01,Dairy,Morning,Express,3,4,0,347,16,CR-149
ORD-257,2024-01-18,Pune,DS-06,Frozen,Night,Express,5,4,10,532,28,CR-89
ORD-258,2024-11-18,Chennai,DS-04,Snacks,Evening,Standard,1,3,0,320,19,CR-34
ORD-259,2024-01-08,Bengaluru,DS-08,Personal Care,Evening,Standard,6,5,10,397,21,CR-136
ORD-260,2024-06-15,Bengaluru,DS-07,Personal Care,Afternoon,Standard,4,4,0,528,19,CR-135
ORD-261,2024-12-28,Bengaluru,DS-03,Household,Afternoon,Express,6,4,0,484,18,CR-26
ORD-262,2024-05-26,Hyderabad,DS-01,Personal Care,Evening,Standard,5,3,30,508,27,CR-180
ORD-263,2024-02-21,Chennai,DS-04,Household,Afternoon,Express,3,3,20,590,7,CR-204
ORD-264,2024-10-11,Delhi,DS-07,Grocery,Morning,Express,6,4,0,229,27,CR-10
ORD-265,2024-03-08,Delhi,DS-02,Personal Care,Afternoon,Standard,2,3,0,314,21,CR-167
ORD-266,2024-07-17,Chennai,DS-01,Personal Care,Evening,Express,1,5,0,461,31,CR-122
ORD-267,2024-03-11,Chennai,DS-06,Beverages,Afternoon,Express,3,5,20,324,12,CR-153
ORD-268,2024-05-15,Chennai,DS-07,Beverages,Night,Express,2,1,30,457,42,CR-148
ORD-269,2024-02-16,Pune,DS-06,Snacks,Afternoon,Express,6,5,0,535,16,CR-62
ORD-270,2024-03-21,Mumbai,DS-04,Grocery,Night,Standard,6,4,30,394,33,CR-145
