order_id,order_date,region,channel,segment,revenue,units
ORD-0-48,2023-01-09,East,Partner,SMB,331,2
ORD-0-49,2023-01-13,West,Partner,Enterprise,521,8
ORD-0-50,2023-01-18,West,Retail,Enterprise,485,9
ORD-0-51,2023-01-19,West,Web,SMB,504,9
ORD-0-52,2023-01-21,East,Partner,SMB,397,6
ORD-0-53,2023-01-10,North,Web,Enterprise,652,7
ORD-0-54,2023-01-01,West,Web,Enterprise,637,6
ORD-0-55,2023-01-22,South,Retail,Mid,415,6
ORD-0-56,2023-01-18,South,Web,Mid,516,5
ORD-0-57,2023-01-03,South,Partner,Enterprise,484,10
ORD-0-58,2023-01-06,South,Retail,Mid,276,12
ORD-0-59,2023-01-01,West,Retail,SMB,221,9
ORD-0-60,2023-01-16,West,Partner,Enterprise,618,9
ORD-0-61,2023-01-27,West,Partner,SMB,552,8
ORD-0-62,2023-01-02,East,Retail,SMB,422,8
ORD-0-63,2023-01-01,East,Retail,SMB,260,6
ORD-0-64,2023-01-21,West,Partner,Enterprise,627,7
ORD-0-65,2023-01-27,Central,Retail,Enterprise,419,7
ORD-0-66,2023-01-14,Central,Partner,Mid,500,7
ORD-0-67,2023-01-18,Central,Web,Enterprise,521,8
ORD-0-68,2023-01-22,East,Retail,Enterprise,510,8
ORD-0-69,2023-01-16,East,Retail,Mid,417,9
ORD-0-70,2023-01-06,Central,Web,Enterprise,386,10
ORD-0-71,2023-01-07,North,Retail,Mid,752,3
ORD-0-72,2023-01-15,North,Partner,Enterprise,605,3
ORD-0-73,2023-01-07,South,Retail,SMB,247,10
ORD-0-74,2023-01-19,West,Retail,Mid,383,6
ORD-0-75,2023-01-26,North,Web,SMB,465,9
ORD-0-76,2023-01-22,Central,Retail,Enterprise,430,8
ORD-0-77,2023-01-23,North,Retail,Enterprise,410,9
ORD-0-78,2023-01-20,West,Web,SMB,518,4
ORD-0-79,2023-01-18,Central,Web,SMB,650,10
ORD-0-80,2023-01-23,East,Web,Mid,241,12
ORD-0-81,2023-01-10,East,Web,Mid,540,14
ORD-0-82,2023-01-24,West,Partner,Mid,572,7
ORD-0-83,2023-01-04,East,Web,SMB,573,3
ORD-0-84,2023-01-07,Central,Partner,Mid,490,4
ORD-0-85,2023-01-15,Central,Partner,SMB,561,10
ORD-0-86,2023-01-13,South,Retail,SMB,616,12
ORD-0-87,2023-01-16,Central,Retail,Enterprise,473,18
ORD-0-88,2023-01-13,Central,Partner,Mid,466,6
ORD-0-89,2023-01-03,West,Web,SMB,367,8
ORD-0-90,2023-01-28,East,Partner,Enterprise,405,6
ORD-0-91,2023-01-22,South,Web,Enterprise,663,9
ORD-0-92,2023-01-23,North,Retail,Mid,599,14
ORD-0-93,2023-01-21,South,Web,Mid,479,5
ORD-0-94,2023-01-05,Central,Web,Enterprise,422,9
ORD-0-95,2023-01-09,West,Retail,Mid,503,6
ORD-0-96,2023-01-01,Central,Partner,Enterprise,338,8
ORD-0-97,2023-01-11,East,Partner,Enterprise,498,4
ORD-0-98,2023-01-03,North,Partner,Mid,480,7
ORD-0-99,2023-01-01,Central,Retail,Mid,497,6
ORD-0-100,2023-01-13,North,Retail,Mid,580,7
ORD-0-101,2023-01-10,North,Partner,Enterprise,285,8
ORD-0-102,2023-01-05,Central,Retail,Enterprise,374,3
ORD-0-103,2023-01-18,East,Partner,SMB,350,13
ORD-0-104,2023-01-11,North,Retail,Enterprise,619,4
ORD-0-105,2023-01-09,Central,Partner,SMB,727,8
ORD-0-106,2023-01-23,East,Partner,Mid,372,7
ORD-0-107,2023-01-04,Central,Partner,Enterprise,427,7
ORD-0-108,2023-01-14,East,Retail,Mid,327,9
ORD-0-109,2023-01-16,North,Retail,Mid,630,8
ORD-0-110,2023-01-20,East,Partner,Enterprise,578,11
ORD-0-111,2023-01-16,West,Partner,Mid,332,11
ORD-0-112,2023-01-14,West,Web,SMB,610,5
ORD-0-113,2023-01-04,North,Retail,Enterprise,328,10
ORD-0-114,2023-01-11,South,Partner,Enterprise,366,3
ORD-0-115,2023-01-23,South,Partner,Mid,314,9
ORD-0-116,2023-01-28,West,Web,Mid,526,13
ORD-0-117,2023-01-23,South,Web,Mid,647,4
ORD-0-118,2023-01-23,West,Partner,SMB,572,8
ORD-0-119,2023-01-10,West,Web,Mid,475,8
ORD-0-120,2023-01-22,South,Web,SMB,430,5
ORD-0-121,2023-01-07,West,Partner,Mid,391,7
ORD-0-122,2023-01-04,East,Partner,Mid,614,10
ORD-0-123,2023-01-22,North,Web,Enterprise,471,8
ORD-0-124,2023-01-28,Central,Partner,SMB,259,6
ORD-0-125,2023-01-16,East,Retail,Mid,497,6
ORD-0-126,2023-01-12,South,Partner,Mid,649,8
ORD-0-127,2023-01-11,North,Retail,Mid,362,12
ORD-0-128,2023-01-13,West,Partner,SMB,454,14
ORD-0-129,2023-01-03,West,Web,Mid,770,9
ORD-0-130,2023-01-09,East,Web,SMB,740,9
ORD-0-131,2023-01-10,Central,Partner,Enterprise,369,15
ORD-0-132,2023-01-15,South,Web,SMB,513,9
ORD-0-133,2023-01-17,South,Partner,Mid,515,4
ORD-0-134,2023-01-06,Central,Retail,Enterprise,630,8
ORD-0-135,2023-01-09,West,Partner,SMB,580,11
ORD-0-136,2023-01-25,South,Retail,Mid,407,10
ORD-0-137,2023-01-17,Central,Partner,Mid,582,9
ORD-0-138,2023-01-27,West,Partner,Mid,728,5
ORD-0-139,2023-01-21,North,Web,Mid,337,7
ORD-0-140,2023-01-19,East,Retail,SMB,611,13
ORD-0-141,2023-01-16,South,Web,Mid,376,7
ORD-0-142,2023-01-06,West,Web,Mid,236,11
ORD-0-143,2023-01-25,Central,Retail,Mid,542,4
ORD-0-144,2023-01-17,North,Partner,Mid,525,9
ORD-0-145,2023-01-14,North,Partner,Mid,678,11
ORD-0-146,2023-01-04,West,Partner,Enterprise,670,12
ORD-0-147,2023-01-22,East,Retail,Enterprise,322,8
ORD-0-148,2023-01-22,East,Partner,Mid,649,7
ORD-0-149,2023-01-14,East,Partner,Enterprise,298,9
ORD-0-150,2023-01-19,North,Retail,Enterprise,548,7
ORD-0-151,2023-01-21,West,Retail,Mid,249,10
ORD-0-152,2023-01-16,North,Web,Enterprise,525,8
ORD-0-153,2023-01-05,South,Retail,SMB,549,1
ORD-0-154,2023-01-11,South,Partner,SMB,635,14
ORD-0-155,2023-01-16,South,Web,Enterprise,506,9
ORD-0-156,2023-01-11,South,Web,Enterprise,667,9
ORD-0-157,2023-01-13,South,Retail,SMB,638,2
ORD-0-158,2023-01-25,North,Retail,SMB,288,6
ORD-0-159,2023-01-19,Central,Retail,SMB,405,10
ORD-0-160,2023-01-09,Central,Retail,Enterprise,494,5
ORD-0-161,2023-01-22,South,Partner,SMB,790,7
ORD-0-162,2023-01-10,East,Web,Enterprise,560,8
ORD-0-163,2023-01-13,West,Web,Enterprise,560,8
ORD-0-164,2023-01-01,Central,Partner,Mid,570,9
ORD-0-165,2023-01-15,East,Retail,Mid,319,10
ORD-0-166,2023-01-08,West,Partner,SMB,618,7
ORD-0-167,2023-01-01,South,Partner,Mid,530,5
ORD-0-168,2023-01-21,Central,Retail,Enterprise,577,4
ORD-0-169,2023-01-15,East,Retail,Mid,604,8
ORD-0-170,2023-01-01,Central,Retail,SMB,583,6
ORD-0-171,2023-01-21,North,Partner,SMB,639,11
ORD-0-172,2023-01-19,North,Web,SMB,373,11
ORD-0-173,2023-01-08,North,Partner,SMB,303,9
ORD-0-174,2023-01-17,East,Partner,Mid,619,8
ORD-0-175,2023-01-05,North,Retail,Enterprise,390,3
ORD-0-176,2023-01-02,North,Partner,Enterprise,319,7
ORD-0-177,2023-01-17,West,Web,Mid,358,5
ORD-0-178,2023-01-01,East,Web,Mid,409,8
ORD-0-179,2023-01-20,South,Web,Mid,538,11
ORD-0-180,2023-01-02,West,Web,Enterprise,622,8
ORD-0-181,2023-01-09,West,Web,Enterprise,531,6
ORD-0-182,2023-01-21,West,Retail,Mid,493,6
ORD-0-183,2023-01-17,Central,Retail,SMB,408,7
ORD-0-184,2023-01-19,East,Retail,Mid,260,7
ORD-0-185,2023-01-19,South,Partner,Mid,456,8
ORD-0-186,2023-01-05,Central,Partner,Enterprise,632,15
ORD-0-187,2023-01-13,North,Retail,SMB,622,5
ORD-0-188,2023-01-05,East,Retail,Mid,492,7
ORD-0-189,2023-01-12,South,Partner,SMB,539,5
ORD-0-190,2023-01-03,South,Retail,Mid,435,7
ORD-0-191,2023-01-11,West,Partner,Mid,596,8
ORD-0-192,2023-01-11,South,Web,SMB,414,6
ORD-0-193,2023-01-23,North,Retail,Enterprise,454,9
ORD-0-194,2023-01-08,Central,Retail,Enterprise,680,12
ORD-0-195,2023-01-18,North,Web,Enterprise,630,6
ORD-0-196,2023-01-03,North,Web,Mid,563,7
ORD-0-197,2023-01-02,West,Partner,Mid,336,7
ORD-0-198,2023-01-28,North,Partner,Mid,513,6
ORD-0-199,2023-01-04,Central,Retail,Enterprise,267,7
ORD-0-200,2023-01-11,North,Retail,SMB,348,7
ORD-0-201,2023-01-20,South,Web,SMB,439,10
ORD-0-202,2023-01-02,East,Retail,SMB,487,9
ORD-0-203,2023-01-02,East,Web,SMB,557,12
ORD-0-204,2023-01-24,Central,Web,Enterprise,418,5
ORD-0-205,2023-01-04,West,Retail,SMB,608,11
ORD-0-206,2023-01-10,North,Web,Mid,365,8
ORD-0-207,2023-01-20,West,Retail,SMB,351,12
ORD-0-208,2023-01-22,East,Retail,Enterprise,708,7
ORD-0-209,2023-01-03,Central,Partner,Enterprise,663,14
ORD-0-210,2023-01-25,Central,Retail,SMB,480,9
ORD-0-211,2023-01-03,Central,Web,Enterprise,634,6
ORD-0-212,2023-01-27,Central,Web,Enterprise,433,7
ORD-0-213,2023-01-15,East,Partner,Mid,444,5
ORD-0-214,2023-01-01,North,Web,Enterprise,556,11
ORD-0-215,2023-01-19,North,Partner,SMB,604,12
ORD-0-216,2023-01-24,North,Retail,Enterprise,459,8
ORD-0-217,2023-01-23,West,Web,Enterprise,476,7
ORD-0-218,2023-01-17,North,Retail,Mid,344,4
ORD-0-219,2023-01-12,East,Retail,SMB,790,13
ORD-0-220,2023-01-26,South,Web,Enterprise,346,8
ORD-0-221,2023-01-18,East,Web,Enterprise,533,10
ORD-0-222,2023-01-07,East,Web,Mid,726,8
ORD-0-223,2023-01-19,North,Retail,Mid,689,8
ORD-0-224,2023-01-08,Central,Web,Mid,639,8
ORD-0-225,2023-01-12,West,Web,Mid,556,8
ORD-0-226,2023-01-04,South,Retail,Enterprise,681,9
ORD-0-227,2023-01-27,North,Retail,SMB,584,5
ORD-0-228,2023-01-02,Central,Retail,Enterprise,712,12
ORD-0-229,2023-01-18,North,Retail,Enterprise,858,4
ORD-0-230,2023-01-12,South,Partner,Enterprise,607,7
ORD-0-231,2023-01-19,South,Retail,SMB,639,2
ORD-0-232,2023-01-24,North,Retail,SMB,511,3
ORD-0-233,2023-01-21,East,Partner,SMB,263,5
ORD-0-234,2023-01-10,Central,Retail,SMB,285,12
ORD-0-235,2023-01-10,West,Retail,Mid,664,4
ORD-0-236,2023-01-25,South,Partner,Mid,582,5
ORD-0-237,2023-01-04,Central,Web,Enterprise,360,8
ORD-0-238,2023-01-26,Central,Retail,Mid,613,11
ORD-0-239,2023-01-16,South,Retail,Mid,530,11
ORD-0-240,2023-01-02,West,Web,Enterprise,652,7
ORD-0-241,2023-01-04,Central,Partner,Mid,475,9
ORD-0-242,2023-01-18,East,Retail,Enterprise,353,9
ORD-0-243,2023-01-09,North,Retail,SMB,343,8
ORD-0-244,2023-01-12,Central,Partner,Enterprise,698,3
ORD-0-245,2023-01-10,Central,Web,Mid,542,8
ORD-0-246,2023-01-06,West,Partner,SMB,616,3
ORD-0-247,2023-01-03,South,Partner,SMB,474,6
ORD-0-248,2023-01-12,West,Retail,SMB,596,7
ORD-0-249,2023-01-06,West,Web,SMB,568,5
ORD-0-250,2023-01-25,North,Partner,Enterprise,480,7
ORD-0-251,2023-01-13,West,Partner,SMB,565,11
ORD-0-252,2023-01-28,Central,Web,Mid,384,9
ORD-0-253,2023-01-14,West,Partner,SMB,353,7
ORD-0-254,2023-01-22,Central,Retail,Mid,481,5
ORD-0-255,2023-01-23,Central,Web,Mid,545,10
ORD-0-256,2023-01-22,East,Web,Mid,465,6
ORD-0-257,2023-01-07,South,Web,Enterprise,264,6
ORD-0-258,2023-01-10,North,Web,Mid,301,4
ORD-0-259,2023-01-24,Central,Web,SMB,634,4
ORD-0-260,2023-01-26,South,Web,SMB,339,11
ORD-0-261,2023-01-13,East,Partner,Mid,594,7
ORD-0-262,2023-01-12,West,Retail,Enterprise,767,6
ORD-0-263,2023-01-09,East,Web,Mid,486,6
ORD-0-264,2023-01-07,South,Retail,Mid,641,11
ORD-0-265,2023-01-05,West,Partner,Enterprise,592,11
ORD-0-266,2023-01-06,Central,Partner,SMB,557,15
ORD-0-267,2023-01-22,Central,Partner,Enterprise,605,10
ORD-0-268,2023-01-19,West,Partner,Enterprise,449,7
ORD-0-269,2023-01-03,South,Partner,SMB,698,8
ORD-0-270,2023-01-21,West,Partner,Enterprise,595,2
ORD-0-271,2023-01-12,Central,Web,Mid,490,11
ORD-0-272,2023-01-27,South,Retail,Enterprise,714,10
ORD-0-273,2023-01-04,East,Web,Enterprise,729,7
ORD-0-274,2023-01-02,Central,Partner,Enterprise,485,4
ORD-0-275,2023-01-18,Central,Partner,Mid,485,15
ORD-0-276,2023-01-26,South,Partner,SMB,844,7
ORD-0-277,2023-01-13,West,Retail,Mid,470,12
ORD-0-278,2023-01-07,West,Partner,Mid,671,7
ORD-0-279,2023-01-26,South,Web,SMB,372,12
ORD-0-280,2023-01-05,West,Web,Mid,614,5
ORD-0-281,2023-01-21,South,Web,SMB,306,4
ORD-0-282,2023-01-24,East,Web,Mid,429,5
ORD-0-283,2023-01-25,South,Retail,Mid,611,10
ORD-0-284,2023-01-01,Central,Web,Mid,477,4
ORD-0-285,2023-01-17,South,Web,Enterprise,541,9
ORD-0-286,2023-01-15,South,Web,Mid,566,6
ORD-0-287,2023-01-07,South,Partner,SMB,403,8
ORD-0-288,2023-01-13,East,Retail,Mid,383,9
ORD-0-289,2023-01-02,South,Partner,Mid,574,6
ORD-0-290,2023-01-01,North,Retail,Mid,371,4
ORD-0-291,2023-01-26,North,Retail,Enterprise,565,14
ORD-0-292,2023-01-23,South,Web,Mid,510,13
ORD-0-293,2023-01-08,East,Retail,Mid,649,6
ORD-0-294,2023-01-28,South,Partner,SMB,684,10
ORD-0-295,2023-01-03,West,Web,Mid,280,8
ORD-0-296,2023-01-02,East,Retail,Enterprise,413,8
ORD-0-297,2023-01-19,West,Web,SMB,586,1
ORD-0-298,2023-01-06,North,Partner,Mid,544,5
ORD-0-299,2023-01-02,North,Partner,SMB,409,14
ORD-1-0,2023-02-08,Central,Retail,Enterprise,558,7
ORD-1-1,2023-02-21,East,Partner,Mid,342,14
ORD-1-2,2023-02-21,North,Web,Mid,400,5
ORD-1-3,2023-02-24,South,Partner,Mid,639,15
ORD-1-4,2023-02-08,South,Retail,Enterprise,240,6
ORD-1-5,2023-02-17,South,Retail,Mid,516,8
ORD-1-6,2023-02-22,West,Web,Enterprise,462,10
ORD-1-7,2023-02-19,Central,Retail,Enterprise,706,4
ORD-1-8,2023-02-19,East,Retail,Enterprise,642,11
ORD-1-9,2023-02-06,East,Retail,SMB,647,5
ORD-1-10,2023-02-17,South,Retail,Enterprise,635,6
ORD-1-11,2023-02-05,Central,Web,Mid,324,5
ORD-1-12,2023-02-09,West,Partner,SMB,430,10
ORD-1-13,2023-02-14,East,Retail,SMB,617,7
ORD-1-14,2023-02-19,Central,Web,Mid,448,7
ORD-1-15,2023-02-11,East,Web,Mid,599,11
ORD-1-16,2023-02-09,South,Web,Enterprise,662,4
ORD-1-17,2023-02-07,North,Web,Enterprise,402,9
ORD-1-18,2023-02-07,Central,Partner,Mid,559,5
ORD-1-19,2023-02-12,North,Partner,Enterprise,467,4
ORD-1-20,2023-02-09,East,Retail,Enterprise,564,8
ORD-1-21,2023-02-23,South,Web,Enterprise,473,7
ORD-1-22,2023-02-01,Central,Web,Enterprise,483,9
ORD-1-23,2023-02-22,West,Retail,SMB,408,9
ORD-1-24,2023-02-14,East,Partner,SMB,533,9
ORD-1-25,2023-02-27,South,Web,Mid,512,7
ORD-1-26,2023-02-17,North,Web,SMB,379,11
ORD-1-27,2023-02-17,South,Web,SMB,498,8
ORD-1-28,2023-02-05,Central,Web,Mid,475,9
ORD-1-29,2023-02-08,East,Partner,Enterprise,502,8
ORD-1-30,2023-02-23,South,Partner,Enterprise,703,11
ORD-1-31,2023-02-01,North,Web,Enterprise,614,5
ORD-1-32,2023-02-28,North,Web,SMB,474,6
ORD-1-33,2023-02-25,West,Partner,SMB,305,6
ORD-1-34,2023-02-18,West,Partner,Mid,567,5
ORD-1-35,2023-02-13,Central,Retail,SMB,643,7
ORD-1-36,2023-02-28,North,Partner,Mid,356,8
ORD-1-37,2023-02-11,West,Web,Enterprise,427,11
ORD-1-38,2023-02-24,Central,Web,SMB,397,8
ORD-1-39,2023-02-17,West,Web,Enterprise,444,11
ORD-1-40,2023-02-12,North,Web,Mid,446,6
ORD-1-41,2023-02-26,North,Retail,Mid,605,9
ORD-1-42,2023-02-02,West,Retail,Mid,501,5
ORD-1-43,2023-02-11,East,Web,SMB,522,10
ORD-1-44,2023-02-23,East,Retail,Mid,498,8
ORD-1-45,2023-02-22,West,Partner,Enterprise,684,9
ORD-1-46,2023-02-10,East,Retail,Mid,471,4
ORD-1-47,2023-02-12,East,Web,SMB,289,9
ORD-1-48,2023-02-07,South,Web,Enterprise,524,4
ORD-1-49,2023-02-02,North,Retail,Mid,508,11
ORD-1-50,2023-02-26,North,Retail,Mid,559,6
ORD-1-51,2023-02-07,North,Retail,Enterprise,348,10
ORD-1-52,2023-02-18,East,Partner,Enterprise,432,8
ORD-1-53,2023-02-02,West,Partner,Enterprise,645,6
ORD-1-54,2023-02-19,Central,Web,SMB,456,11
ORD-1-55,2023-02-07,West,Retail,SMB,500,4
ORD-1-56,2023-02-15,Central,Retail,SMB,106,9
ORD-1-57,2023-02-27,North,Web,Mid,513,5
ORD-1-58,2023-02-17,North,Retail,Enterprise,396,8
ORD-1-59,2023-02-11,South,Web,SMB,592,6
ORD-1-60,2023-02-08,South,Partner,SMB,905,5
ORD-1-61,2023-02-25,East,Retail,Mid,601,4
ORD-1-62,2023-02-20,East,Web,Mid,583,10
ORD-1-63,2023-02-17,North,Partner,SMB,387,11
ORD-1-64,2023-02-03,North,Web,SMB,539,2
ORD-1-65,2023-02-24,West,Web,SMB,440,7
ORD-1-66,2023-02-17,Central,Partner,Mid,625,10
ORD-1-67,2023-02-09,West,Web,Enterprise,587,7
ORD-1-68,2023-02-11,East,Web,Enterprise,598,7
ORD-1-69,2023-02-19,East,Partner,SMB,678,12
ORD-1-70,2023-02-20,West,Web,Enterprise,582,12
ORD-1-71,2023-02-02,West,Web,SMB,535,9
ORD-1-72,2023-02-20,West,Retail,Mid,658,8
ORD-1-73,2023-02-16,North,Web,Enterprise,541,4
ORD-1-74,2023-02-21,South,Partner,Enterprise,531,6
ORD-1-75,2023-02-27,West,Partner,Mid,599,6
ORD-1-76,2023-02-07,North,Partner,Enterprise,505,10
ORD-1-77,2023-02-01,North,Web,Enterprise,449,10
ORD-1-78,2023-02-04,East,Web,SMB,486,10
ORD-1-79,2023-02-26,East,Retail,Enterprise,621,9
ORD-1-80,2023-02-23,Central,Retail,Mid,741,11
ORD-1-81,2023-02-07,South,Partner,Mid,326,12
ORD-1-82,2023-02-01,East,Retail,SMB,318,13
ORD-1-83,2023-02-05,South,Retail,Enterprise,279,7
ORD-1-84,2023-02-03,West,Retail,Mid,364,5
ORD-1-85,2023-02-09,West,Partner,Enterprise,455,3
ORD-1-86,2023-02-04,North,Web,Enterprise,433,16
ORD-1-87,2023-02-16,North,Web,SMB,545,5
ORD-1-88,2023-02-19,South,Partner,Enterprise,613,14
ORD-1-89,2023-02-03,Central,Partner,Enterprise,576,7
ORD-1-90,2023-02-26,South,Web,SMB,494,14
ORD-1-91,2023-02-28,North,Web,Mid,565,10
ORD-1-92,2023-02-13,West,Partner,Mid,603,12
ORD-1-93,2023-02-20,West,Partner,SMB,526,12
ORD-1-94,2023-02-05,West,Retail,Mid,569,2
ORD-1-95,2023-02-22,North,Web,Mid,727,8
ORD-1-96,2023-02-18,South,Partner,SMB,390,7
ORD-1-97,2023-02-14,West,Partner,SMB,701,7
ORD-1-98,2023-02-02,South,Retail,Mid,429,8
ORD-1-99,2023-02-05,Central,Retail,Enterprise,591,1
ORD-1-100,2023-02-15,West,Partner,Enterprise,608,8
ORD-1-101,2023-02-08,Central,Retail,Mid,389,11
ORD-1-102,2023-02-11,North,Web,Enterprise,391,9
ORD-1-103,2023-02-19,South,Web,Mid,563,3
ORD-1-104,2023-02-24,South,Retail,SMB,518,7
ORD-1-105,2023-02-23,Central,Web,Mid,669,4
ORD-1-106,2023-02-23,South,Retail,Mid,492,10
ORD-1-107,2023-02-23,Central,Retail,Mid,594,11
ORD-1-108,2023-02-01,East,Web,SMB,225,12
ORD-1-109,2023-02-28,North,Retail,Enterprise,557,6
ORD-1-110,2023-02-14,West,Partner,Enterprise,361,6
ORD-1-111,2023-02-08,East,Retail,Mid,422,12
ORD-1-112,2023-02-18,North,Web,Mid,514,13
ORD-1-113,2023-02-02,South,Web,SMB,413,7
ORD-1-114,2023-02-03,South,Partner,SMB,566,14
ORD-1-115,2023-02-05,West,Partner,SMB,534,7
ORD-1-116,2023-02-28,South,Web,SMB,563,7
ORD-1-117,2023-02-12,South,Partner,Enterprise,422,6
ORD-1-118,2023-02-28,Central,Retail,Enterprise,370,10
ORD-1-119,2023-02-17,West,Partner,Mid,496,3
ORD-1-120,2023-02-19,Central,Partner,Enterprise,589,11
ORD-1-121,2023-02-12,South,Web,Mid,569,9
ORD-1-122,2023-02-05,West,Partner,SMB,537,10
ORD-1-123,2023-02-21,Central,Web,SMB,479,9
ORD-1-124,2023-02-26,East,Partner,Mid,188,9
ORD-1-125,2023-02-26,East,Retail,SMB,544,2
ORD-1-126,2023-02-14,North,Retail,SMB,433,7
ORD-1-127,2023-02-14,South,Web,Enterprise,515,8
ORD-1-128,2023-02-26,West,Retail,SMB,346,12
ORD-1-129,2023-02-19,Central,Web,Enterprise,664,10
ORD-1-130,2023-02-10,West,Web,Enterprise,375,5
ORD-1-131,2023-02-06,East,Partner,SMB,390,9
ORD-1-132,2023-02-18,Central,Retail,Mid,402,7
ORD-1-133,2023-02-22,South,Retail,SMB,552,8
ORD-1-134,2023-02-02,North,Retail,Mid,457,11
ORD-1-135,2023-02-18,West,Retail,Enterprise,139,11
ORD-1-136,2023-02-04,North,Web,Enterprise,460,7
ORD-1-137,2023-02-11,East,Partner,SMB,377,7
ORD-1-138,2023-02-28,East,Partner,SMB,494,5
ORD-1-139,2023-02-13,East,Partner,Enterprise,653,8
ORD-1-140,2023-02-27,South,Web,Mid,465,7
ORD-1-141,2023-02-21,West,Retail,Enterprise,405,7
ORD-1-142,2023-02-13,West,Web,Enterprise,456,10
ORD-1-143,2023-02-17,North,Retail,Enterprise,327,7
ORD-1-144,2023-02-18,West,Retail,SMB,156,8
ORD-1-145,2023-02-22,North,Web,Mid,275,10
ORD-1-146,2023-02-04,West,Partner,SMB,717,13
ORD-1-147,2023-02-20,South,Retail,Enterprise,419,1
ORD-1-148,2023-02-28,East,Partner,Mid,413,12
ORD-1-149,2023-02-28,South,Web,Mid,451,10
ORD-1-150,2023-02-06,North,Partner,Enterprise,481,6
ORD-1-151,2023-02-28,North,Web,SMB,351,9
ORD-1-152,2023-02-27,West,Web,Mid,386,15
ORD-1-153,2023-02-19,East,Web,SMB,658,5
ORD-1-154,2023-02-03,East,Retail,Mid,645,6
ORD-1-155,2023-02-17,East,Partner,SMB,555,6
ORD-1-156,2023-02-19,North,Web,SMB,535,7
ORD-1-157,2023-02-11,South,Retail,Mid,717,5
ORD-1-158,2023-02-04,Central,Web,Mid,311,7
ORD-1-159,2023-02-19,North,Partner,SMB,282,9
ORD-1-160,2023-02-22,Central,Partner,Enterprise,402,5
ORD-1-161,2023-02-19,South,Web,Mid,552,2
ORD-1-162,2023-02-21,East,Partner,SMB,465,9
ORD-1-163,2023-02-06,North,Retail,Mid,480,7
ORD-1-164,2023-02-04,North,Web,SMB,127,6
ORD-1-165,2023-02-28,West,Web,Mid,541,10
ORD-1-166,2023-02-08,Central,Partner,SMB,419,1
ORD-1-167,2023-02-01,South,Partner,SMB,666,4
ORD-1-168,2023-02-08,North,Retail,Mid,525,9
ORD-1-169,2023-02-04,South,Retail,Enterprise,464,6
ORD-1-170,2023-02-15,East,Retail,SMB,488,13
ORD-1-171,2023-02-06,South,Partner,Enterprise,390,7
