order_id,order_date,segment,revenue,margin_rate
ORD-50,2025-01-07,Enterprise,384,0.38
ORD-51,2025-01-25,Enterprise,545,0.3744
ORD-52,2025-01-09,Enterprise,378,0.346
ORD-53,2025-01-23,Enterprise,521,0.3837
ORD-54,2025-01-01,Enterprise,397,0.3573
ORD-55,2025-01-07,Enterprise,656,0.4089
ORD-56,2025-01-15,Enterprise,535,0.3799
ORD-57,2025-01-08,Enterprise,482,0.4293
ORD-58,2025-01-07,Enterprise,462,0.3884
ORD-59,2025-01-26,Enterprise,488,0.3915
ORD-60,2025-01-01,Enterprise,589,0.3995
ORD-61,2025-01-04,Enterprise,396,0.3943
ORD-62,2025-01-08,Enterprise,466,0.3828
ORD-63,2025-01-10,Enterprise,609,0.397
ORD-64,2025-01-19,Enterprise,493,0.4427
ORD-65,2025-01-03,Enterprise,417,0.4114
ORD-66,2025-01-10,Enterprise,492,0.4168
ORD-67,2025-01-27,Enterprise,414,0.4049
ORD-68,2025-01-10,Enterprise,508,0.4044
ORD-69,2025-01-08,Enterprise,456,0.3888
ORD-70,2025-01-06,Enterprise,483,0.3797
ORD-71,2025-01-16,Enterprise,492,0.3905
ORD-72,2025-01-11,Enterprise,467,0.3966
ORD-73,2025-01-18,Enterprise,402,0.3928
ORD-74,2025-01-26,Enterprise,596,0.4279
ORD-75,2025-01-06,Enterprise,393,0.4358
ORD-76,2025-01-23,Enterprise,482,0.4127
ORD-77,2025-01-12,Enterprise,534,0.405
ORD-78,2025-01-07,Enterprise,413,0.4232
ORD-79,2025-01-15,Enterprise,487,0.3825
ORD-80,2025-01-27,Enterprise,581,0.4177
ORD-81,2025-01-27,Enterprise,584,0.4162
ORD-82,2025-01-16,Enterprise,513,0.3864
ORD-83,2025-01-25,Enterprise,499,0.3882
ORD-84,2025-01-16,Enterprise,634,0.3974
ORD-85,2025-01-25,Enterprise,439,0.3978
ORD-86,2025-01-08,Enterprise,546,0.3684
ORD-87,2025-01-02,Enterprise,510,0.4321
ORD-88,2025-01-11,Enterprise,396,0.4433
ORD-89,2025-01-08,Enterprise,704,0.4417
ORD-90,2025-01-05,Enterprise,431,0.421
ORD-91,2025-01-28,Enterprise,601,0.4655
ORD-92,2025-01-18,Enterprise,560,0.4413
ORD-93,2025-01-21,Enterprise,545,0.3986
ORD-94,2025-01-25,Enterprise,487,0.4001
ORD-95,2025-01-01,Enterprise,450,0.3907
ORD-96,2025-01-07,Enterprise,391,0.4194
ORD-97,2025-01-03,Enterprise,662,0.3813
ORD-98,2025-01-24,Enterprise,399,0.458
ORD-99,2025-01-12,Enterprise,555,0.3815
ORD-100,2025-01-11,Enterprise,568,0.385
ORD-101,2025-01-17,Enterprise,447,0.3821
ORD-102,2025-01-13,Enterprise,602,0.3696
ORD-103,2025-01-14,Enterprise,330,0.4166
ORD-104,2025-01-03,Enterprise,562,0.4087
ORD-105,2025-01-02,Enterprise,579,0.3992
ORD-106,2025-01-07,Enterprise,533,0.4074
ORD-107,2025-01-18,Enterprise,664,0.4047
ORD-108,2025-01-01,Enterprise,398,0.4043
ORD-109,2025-01-18,Enterprise,568,0.4015
ORD-110,2025-01-03,Enterprise,610,0.4287
ORD-111,2025-01-08,Enterprise,616,0.4268
ORD-112,2025-01-21,Enterprise,513,0.371
ORD-113,2025-01-26,Enterprise,571,0.4113
ORD-114,2025-01-15,Enterprise,516,0.4023
ORD-115,2025-01-04,Enterprise,461,0.3921
ORD-116,2025-01-05,Enterprise,519,0.3646
ORD-117,2025-01-12,Enterprise,450,0.3889
ORD-118,2025-01-01,Enterprise,444,0.3758
ORD-119,2025-01-04,Enterprise,383,0.4198
ORD-120,2025-01-02,Enterprise,426,0.4188
ORD-121,2025-01-22,Enterprise,592,0.3892
ORD-122,2025-01-15,Enterprise,507,0.4116
ORD-123,2025-01-19,Enterprise,637,0.4023
ORD-124,2025-01-05,Enterprise,480,0.3989
ORD-125,2025-01-28,Enterprise,436,0.4129
ORD-126,2025-01-02,Enterprise,631,0.4032
ORD-127,2025-01-08,Enterprise,363,0.4034
ORD-128,2025-01-01,Enterprise,491,0.3798
ORD-129,2025-01-24,Enterprise,580,0.4175
ORD-130,2025-01-05,Enterprise,531,0.4403
ORD-131,2025-01-25,Enterprise,479,0.4016
ORD-132,2025-01-28,Enterprise,459,0.3958
ORD-133,2025-01-23,Enterprise,612,0.4375
ORD-134,2025-01-15,Enterprise,515,0.414
ORD-135,2025-01-24,Enterprise,593,0.4197
ORD-136,2025-01-10,Enterprise,534,0.3764
ORD-137,2025-01-02,Enterprise,508,0.418
ORD-138,2025-01-17,Enterprise,564,0.409
ORD-139,2025-01-21,Enterprise,693,0.4021
ORD-140,2025-01-24,Enterprise,563,0.4066
ORD-141,2025-01-01,Enterprise,526,0.3974
ORD-142,2025-01-26,Enterprise,543,0.392
ORD-143,2025-01-02,Enterprise,473,0.3971
ORD-144,2025-01-18,Enterprise,556,0.4399
ORD-145,2025-01-28,Enterprise,484,0.3835
ORD-146,2025-01-04,Enterprise,506,0.4056
ORD-147,2025-01-05,Enterprise,363,0.4193
ORD-148,2025-01-03,Enterprise,396,0.3583
ORD-149,2025-01-18,Enterprise,622,0.4219
ORD-150,2025-01-13,Enterprise,541,0.4139
ORD-151,2025-01-10,Enterprise,448,0.3969
ORD-152,2025-01-14,Enterprise,482,0.3702
ORD-153,2025-01-17,Enterprise,502,0.4062
ORD-154,2025-01-05,Enterprise,445,0.415
ORD-155,2025-01-24,Enterprise,403,0.4217
ORD-156,2025-01-17,Enterprise,462,0.3858
ORD-157,2025-01-12,Enterprise,576,0.4263
ORD-158,2025-01-16,Enterprise,437,0.4257
ORD-159,2025-01-13,Enterprise,545,0.3988
ORD-160,2025-01-28,Enterprise,522,0.4216
ORD-161,2025-01-27,Enterprise,393,0.4126
ORD-162,2025-01-20,Enterprise,468,0.4062
ORD-163,2025-01-10,Enterprise,477,0.4263
ORD-164,2025-01-12,Enterprise,511,0.3819
ORD-165,2025-01-06,Enterprise,416,0.4179
ORD-166,2025-01-26,Enterprise,532,0.3951
ORD-167,2025-01-10,Enterprise,537,0.4126
ORD-168,2025-01-27,Enterprise,522,0.3668
ORD-169,2025-01-19,Enterprise,519,0.376
ORD-170,2025-01-14,Enterprise,569,0.377
ORD-171,2025-01-25,Enterprise,486,0.3993
ORD-172,2025-01-09,Enterprise,484,0.3818
ORD-173,2025-01-03,Enterprise,454,0.4235
ORD-174,2025-01-21,Enterprise,531,0.4196
ORD-175,2025-01-15,Enterprise,478,0.4282
ORD-176,2025-01-16,Enterprise,435,0.3768
ORD-177,2025-01-12,Enterprise,663,0.3783
ORD-178,2025-01-04,Enterprise,517,0.3997
ORD-179,2025-01-18,Enterprise,515,0.3984
ORD-180,2025-01-03,Enterprise,583,0.394
ORD-181,2025-01-10,Enterprise,516,0.4211
ORD-182,2025-01-24,Enterprise,408,0.4206
ORD-183,2025-01-18,Enterprise,678,0.4072
ORD-184,2025-01-01,Enterprise,623,0.4056
ORD-185,2025-01-26,Enterprise,462,0.3839
ORD-186,2025-01-12,Enterprise,425,0.363
ORD-187,2025-01-16,Enterprise,625,0.3594
ORD-188,2025-01-24,Enterprise,346,0.3957
ORD-189,2025-01-15,Enterprise,426,0.4222
ORD-190,2025-01-26,Enterprise,496,0.3715
ORD-191,2025-01-14,Enterprise,491,0.3927
ORD-192,2025-01-04,Enterprise,399,0.4111
ORD-193,2025-01-28,Enterprise,472,0.3792
ORD-194,2025-01-26,Enterprise,499,0.3899
ORD-195,2025-01-27,Enterprise,659,0.4125
ORD-196,2025-01-13,Enterprise,476,0.4564
ORD-197,2025-01-24,Enterprise,508,0.4054
ORD-198,2025-01-20,Enterprise,434,0.4283
ORD-199,2025-01-21,Enterprise,414,0.3742
ORD-200,2025-01-18,Enterprise,459,0.3878
ORD-201,2025-01-28,Enterprise,494,0.4037
ORD-202,2025-01-02,Enterprise,504,0.4034
ORD-203,2025-01-12,Enterprise,564,0.4054
ORD-204,2025-01-16,Enterprise,446,0.3988
ORD-205,2025-01-22,Enterprise,493,0.4279
ORD-206,2025-01-27,Enterprise,390,0.3937
ORD-207,2025-01-20,Enterprise,613,0.4179
ORD-208,2025-01-15,Enterprise,588,0.4013
ORD-209,2025-01-06,Enterprise,539,0.4325
ORD-210,2025-01-28,Enterprise,552,0.4147
ORD-211,2025-01-13,Enterprise,525,0.4446
ORD-212,2025-01-13,Enterprise,482,0.379
ORD-213,2025-01-01,Enterprise,526,0.3886
ORD-214,2025-01-12,Enterprise,585,0.4064
ORD-215,2025-01-21,Enterprise,577,0.3725
ORD-216,2025-01-07,Enterprise,495,0.43
ORD-217,2025-01-25,Enterprise,571,0.3961
ORD-218,2025-01-07,Enterprise,508,0.3907
ORD-219,2025-01-19,Enterprise,570,0.401
ORD-220,2025-01-18,Enterprise,635,0.4393
ORD-221,2025-01-09,Enterprise,404,0.4149
ORD-222,2025-01-19,Enterprise,523,0.4118
ORD-223,2025-01-06,Enterprise,316,0.4157
ORD-224,2025-01-01,Enterprise,446,0.411
ORD-225,2025-01-22,Enterprise,537,0.4013
ORD-226,2025-01-23,Enterprise,558,0.3831
ORD-227,2025-01-11,Enterprise,358,0.4016
ORD-228,2025-01-27,Enterprise,454,0.408
ORD-229,2025-01-20,Enterprise,554,0.4241
ORD-230,2025-01-24,Enterprise,534,0.398
ORD-231,2025-01-04,Enterprise,533,0.4125
ORD-232,2025-01-16,Enterprise,534,0.4015
ORD-233,2025-01-26,Enterprise,512,0.3872
ORD-234,2025-01-22,Enterprise,453,0.4117
ORD-235,2025-01-26,Enterprise,587,0.4122
ORD-236,2025-01-09,Enterprise,521,0.3936
ORD-237,2025-01-26,Enterprise,432,0.4102
ORD-238,2025-01-13,Enterprise,403,0.4188
ORD-239,2025-01-05,Enterprise,534,0.4088
ORD-240,2025-01-03,Enterprise,463,0.3848
ORD-241,2025-01-02,Enterprise,366,0.3562
ORD-242,2025-01-16,Enterprise,504,0.3859
ORD-243,2025-01-24,Enterprise,436,0.4026
ORD-244,2025-01-22,Enterprise,301,0.4125
ORD-245,2025-01-01,Enterprise,549,0.3827
ORD-246,2025-01-21,Enterprise,381,0.3697
ORD-247,2025-01-19,Enterprise,548,0.4393
ORD-248,2025-01-19,Enterprise,547,0.4062
ORD-249,2025-01-11,Enterprise,456,0.4032
ORD-250,2025-01-05,Enterprise,385,0.3748
ORD-251,2025-01-03,Enterprise,371,0.4099
ORD-252,2025-01-05,Enterprise,579,0.4042
ORD-253,2025-01-09,Enterprise,666,0.4068
ORD-254,2025-01-22,Enterprise,571,0.3828
ORD-255,2025-01-17,Enterprise,370,0.4345
ORD-256,2025-01-13,Enterprise,421,0.3785
ORD-257,2025-01-15,Enterprise,576,0.4255
ORD-258,2025-01-28,Enterprise,410,0.417
ORD-259,2025-01-24,Enterprise,611,0.4196
ORD-260,2025-01-01,Enterprise,510,0.4184
ORD-261,2025-01-27,Enterprise,514,0.4178
ORD-262,2025-01-03,Enterprise,524,0.394
ORD-263,2025-01-20,Enterprise,515,0.4188
ORD-264,2025-01-25,Enterprise,556,0.424
ORD-265,2025-01-04,Enterprise,470,0.4198
ORD-266,2025-01-24,Enterprise,563,0.408
ORD-267,2025-01-23,Enterprise,500,0.3761
ORD-268,2025-01-03,Enterprise,499,0.3615
ORD-269,2025-01-20,Enterprise,567,0.3858
ORD-270,2025-01-02,Enterprise,549,0.3649
ORD-271,2025-01-26,Enterprise,537,0.4142
ORD-272,2025-01-24,Enterprise,522,0.3946
ORD-273,2025-01-07,Enterprise,515,0.3879
ORD-274,2025-01-03,Enterprise,476,0.3919
ORD-275,2025-01-14,Enterprise,351,0.3962
ORD-276,2025-01-19,Enterprise,278,0.35
ORD-277,2025-01-02,Enterprise,451,0.383
ORD-278,2025-01-17,Enterprise,647,0.4197
ORD-279,2025-01-11,Enterprise,638,0.3755
ORD-280,2025-01-16,Enterprise,560,0.4421
ORD-281,2025-01-09,Enterprise,587,0.3905
ORD-282,2025-01-16,Enterprise,657,0.41
ORD-283,2025-01-12,Enterprise,446,0.4133
ORD-284,2025-01-25,Enterprise,402,0.3979
ORD-285,2025-01-25,Enterprise,468,0.3902
ORD-286,2025-01-24,Enterprise,565,0.3786
ORD-287,2025-01-15,Enterprise,729,0.414
ORD-288,2025-01-04,Enterprise,471,0.3944
ORD-289,2025-01-06,Enterprise,444,0.4268
ORD-290,2025-01-13,Enterprise,640,0.4008
ORD-291,2025-01-08,Enterprise,539,0.4293
ORD-292,2025-01-23,Enterprise,484,0.3956
ORD-293,2025-01-22,Enterprise,508,0.4008
ORD-294,2025-01-07,Enterprise,447,0.4075
ORD-295,2025-01-05,Enterprise,580,0.4035
ORD-296,2025-01-16,Enterprise,507,0.4275
ORD-297,2025-01-04,Enterprise,536,0.4024
ORD-298,2025-01-25,Enterprise,417,0.3996
ORD-299,2025-01-02,Enterprise,544,0.4088
ORD-300,2025-01-19,Enterprise,522,0.4333
ORD-301,2025-01-17,Enterprise,518,0.4054
ORD-302,2025-01-09,Enterprise,391,0.4102
ORD-303,2025-01-13,Enterprise,604,0.3712
ORD-304,2025-01-23,Enterprise,581,0.424
ORD-305,2025-01-12,Enterprise,510,0.3784
ORD-306,2025-01-07,Enterprise,646,0.4143
ORD-307,2025-01-16,Enterprise,604,0.3976
ORD-308,2025-01-01,Enterprise,605,0.3805
ORD-309,2025-01-21,Enterprise,504,0.3901
ORD-310,2025-01-27,Enterprise,510,0.394
ORD-311,2025-01-04,Enterprise,560,0.3939
ORD-312,2025-01-28,Enterprise,383,0.4227
ORD-313,2025-01-05,Enterprise,547,0.4268
ORD-314,2025-01-25,Enterprise,347,0.4044
ORD-315,2025-01-05,Enterprise,498,0.4205
ORD-316,2025-01-01,Enterprise,312,0.3876
ORD-317,2025-01-03,Enterprise,467,0.3839
ORD-318,2025-01-06,Enterprise,565,0.4231
ORD-319,2025-01-11,Enterprise,398,0.3671
ORD-320,2025-01-11,Enterprise,512,0.401
ORD-321,2025-01-01,Enterprise,513,0.4064
ORD-322,2025-01-17,Enterprise,373,0.3965
ORD-323,2025-01-01,Enterprise,478,0.3666
ORD-324,2025-01-21,Enterprise,683,0.3766
ORD-325,2025-01-09,Enterprise,486,0.4291
ORD-326,2025-01-01,Enterprise,449,0.4074
ORD-327,2025-01-01,Enterprise,431,0.4245
ORD-328,2025-01-08,Enterprise,386,0.3884
ORD-329,2025-01-02,Enterprise,420,0.4151
ORD-330,2025-01-13,Enterprise,600,0.3812
ORD-331,2025-01-20,Enterprise,613,0.4084
ORD-332,2025-01-08,Enterprise,440,0.3744
ORD-333,2025-01-21,Enterprise,547,0.3704
ORD-334,2025-01-05,Enterprise,424,0.3846
ORD-335,2025-01-23,Enterprise,421,0.4275
ORD-336,2025-01-27,Enterprise,525,0.4002
ORD-337,2025-01-07,Enterprise,371,0.4161
ORD-338,2025-01-01,Enterprise,380,0.4193
ORD-339,2025-01-21,Enterprise,526,0.3863
ORD-340,2025-01-26,Enterprise,452,0.4394
ORD-341,2025-01-19,Enterprise,557,0.4111
ORD-342,2025-01-02,Enterprise,440,0.4209
ORD-343,2025-01-14,Enterprise,625,0.4057
ORD-344,2025-01-11,Enterprise,370,0.4106
ORD-345,2025-01-11,Enterprise,435,0.3924
ORD-346,2025-01-17,Enterprise,573,0.4053
ORD-347,2025-01-17,Enterprise,694,0.4332
ORD-348,2025-01-24,Enterprise,370,0.3969
ORD-349,2025-01-19,Enterprise,496,0.4387
ORD-350,2025-01-01,Enterprise,470,0.3348
ORD-351,2025-01-15,Enterprise,397,0.4008
ORD-352,2025-01-26,Enterprise,441,0.3888
ORD-353,2025-01-28,Enterprise,322,0.4182
ORD-354,2025-01-17,Enterprise,517,0.4174
ORD-355,2025-01-07,Enterprise,578,0.41
ORD-356,2025-01-19,Enterprise,348,0.3925
ORD-357,2025-01-02,Enterprise,680,0.3648
ORD-358,2025-01-23,Enterprise,343,0.3873
ORD-359,2025-01-11,Enterprise,497,0.3985
ORD-360,2025-01-18,Enterprise,529,0.4083
ORD-361,2025-01-27,Enterprise,511,0.4143
ORD-362,2025-01-13,Enterprise,436,0.3633
ORD-363,2025-01-10,Enterprise,459,0.4107
ORD-364,2025-01-23,Enterprise,703,0.4054
ORD-365,2025-01-26,Enterprise,491,0.3889
ORD-366,2025-01-15,Enterprise,494,0.4271
ORD-367,2025-01-07,Enterprise,284,0.378
ORD-368,2025-01-23,Enterprise,419,0.4246
ORD-369,2025-01-17,Enterprise,429,0.3684
ORD-370,2025-01-25,Enterprise,625,0.3952
ORD-371,2025-01-17,Enterprise,445,0.4105
ORD-372,2025-01-05,Enterprise,551,0.4415
ORD-373,2025-01-22,Enterprise,454,0.4266
ORD-374,2025-01-28,Enterprise,578,0.3486
ORD-375,2025-01-07,Enterprise,543,0.3977
ORD-376,2025-01-14,Enterprise,492,0.3968
ORD-377,2025-01-01,Enterprise,362,0.3976
ORD-378,2025-01-25,Enterprise,506,0.4097
ORD-379,2025-01-14,Enterprise,562,0.3897
ORD-380,2025-01-24,Enterprise,551,0.3958
ORD-381,2025-01-22,Enterprise,545,0.4082
ORD-382,2025-01-07,Enterprise,567,0.3839
ORD-383,2025-01-06,Enterprise,353,0.4166
ORD-384,2025-01-06,Enterprise,530,0.3888
ORD-385,2025-01-10,Enterprise,582,0.409
ORD-386,2025-01-07,Enterprise,493,0.4184
ORD-387,2025-01-24,Enterprise,641,0.4548
ORD-388,2025-01-22,Enterprise,513,0.3778
ORD-389,2025-01-26,Enterprise,665,0.403
ORD-390,2025-01-06,Enterprise,693,0.4213
ORD-391,2025-01-28,Enterprise,469,0.3668
ORD-392,2025-01-05,Enterprise,407,0.4044
ORD-393,2025-01-06,Enterprise,434,0.4017
ORD-394,2025-01-06,Enterprise,370,0.3849
ORD-395,2025-01-05,Enterprise,535,0.4049
ORD-396,2025-01-17,Enterprise,506,0.3966
ORD-397,2025-01-22,Enterprise,523,0.3682
ORD-398,2025-01-12,Enterprise,432,0.4174
ORD-399,2025-01-08,Enterprise,402,0.3918
ORD-400,2025-01-02,Enterprise,530,0.4098
ORD-401,2025-01-08,Enterprise,485,0.3797
ORD-402,2025-01-04,Enterprise,562,0.4264
ORD-403,2025-01-19,Enterprise,421,0.3954
ORD-404,2025-01-22,Enterprise,629,0.3697
ORD-405,2025-01-27,Enterprise,546,0.4111
ORD-406,2025-01-26,Enterprise,392,0.4045
ORD-407,2025-01-04,Enterprise,469,0.3933
ORD-408,2025-01-18,Enterprise,607,0.3672
ORD-409,2025-01-16,Enterprise,434,0.3663
ORD-410,2025-01-07,Enterprise,499,0.4087
ORD-411,2025-01-20,Enterprise,443,0.3923
ORD-412,2025-01-19,Enterprise,565,0.4021
ORD-413,2025-01-11,Enterprise,491,0.3563
ORD-414,2025-01-01,Enterprise,584,0.3914
ORD-415,2025-01-14,Enterprise,589,0.429
ORD-416,2025-01-28,Enterprise,530,0.403
ORD-417,2025-01-22,Enterprise,605,0.3879
ORD-418,2025-01-16,Enterprise,482,0.4207
ORD-419,2025-01-17,Enterprise,498,0.4167
ORD-420,2025-01-14,Enterprise,423,0.4113
ORD-421,2025-01-26,Enterprise,461,0.4051
ORD-422,2025-01-10,Enterprise,452,0.4054
ORD-423,2025-01-11,Enterprise,522,0.4004
ORD-424,2025-01-04,Enterprise,572,0.3737
ORD-425,2025-01-12,Enterprise,457,0.4052
ORD-426,2025-01-02,Enterprise,320,0.3765
ORD-427,2025-01-02,Enterprise,539,0.3768
ORD-428,2025-01-12,Enterprise,482,0.3657
ORD-429,2025-01-19,Enterprise,654,0.37
ORD-430,2025-01-26,Enterprise,466,0.392
ORD-431,2025-01-21,Enterprise,624,0.3976
ORD-432,2025-01-01,Enterprise,706,0.4114
ORD-433,2025-01-14,Enterprise,437,0.4052
ORD-434,2025-01-14,Enterprise,550,0.4066
ORD-435,2025-01-19,Enterprise,551,0.3977
ORD-436,2025-01-26,Enterprise,574,0.4052
ORD-437,2025-01-09,Enterprise,469,0.3682
ORD-438,2025-01-15,Enterprise,562,0.4058
ORD-439,2025-01-04,Enterprise,372,0.3852
ORD-440,2025-01-21,Enterprise,622,0.4436
ORD-441,2025-01-20,Enterprise,484,0.3888
ORD-442,2025-01-24,Enterprise,481,0.4055
ORD-443,2025-01-13,Enterprise,436,0.3703
ORD-444,2025-01-01,Enterprise,513,0.3788
ORD-445,2025-01-08,Enterprise,613,0.3994
ORD-446,2025-01-03,Enterprise,464,0.3908
ORD-447,2025-01-01,Enterprise,587,0.3683
ORD-448,2025-01-14,Enterprise,532,0.3567
ORD-449,2025-01-27,Enterprise,466,0.4104
ORD-450,2025-01-09,Enterprise,619,0.4028
ORD-451,2025-01-11,Enterprise,502,0.3966
ORD-452,2025-01-04,Enterprise,467,0.3744
ORD-453,2025-01-12,Enterprise,517,0.4265
ORD-454,2025-01-15,Enterprise,468,0.4103
ORD-455,2025-01-02,Enterprise,560,0.3908
ORD-456,2025-01-11,Enterprise,449,0.4132
ORD-457,2025-01-11,Enterprise,458,0.3636
ORD-458,2025-01-05,Enterprise,628,0.4147
ORD-459,2025-01-13,Enterprise,481,0.4356
ORD-460,2025-01-28,Enterprise,400,0.3853
ORD-461,2025-01-17,Enterprise,366,0.4002
ORD-462,2025-01-28,Enterprise,267,0.3979
ORD-463,2025-01-17,Enterprise,467,0.4307
ORD-464,2025-01-17,Enterprise,522,0.3856
ORD-465,2025-01-16,Enterprise,440,0.4031
ORD-466,2025-01-02,Enterprise,639,0.3945
ORD-467,2025-01-19,Enterprise,505,0.4075
ORD-468,2025-01-28,Enterprise,526,0.3967
ORD-469,2025-01-17,Enterprise,592,0.4173
ORD-470,2025-01-19,Enterprise,493,0.3876
ORD-471,2025-01-10,Enterprise,404,0.4058
ORD-472,2025-01-25,Enterprise,425,0.3694
ORD-473,2025-01-05,Enterprise,684,0.3783
ORD-474,2025-01-23,Enterprise,516,0.3922
ORD-475,2025-01-15,Enterprise,478,0.3932
ORD-476,2025-01-28,Enterprise,541,0.4029
ORD-477,2025-01-05,Enterprise,599,0.4078
ORD-478,2025-01-19,Enterprise,472,0.391
ORD-479,2025-01-01,Enterprise,573,0.3979
ORD-480,2025-01-27,Enterprise,735,0.3807
ORD-481,2025-01-10,Enterprise,630,0.3863
ORD-482,2025-01-03,Enterprise,504,0.3906
ORD-483,2025-01-12,Enterprise,507,0.3607
ORD-484,2025-01-21,Enterprise,497,0.3947
ORD-485,2025-01-20,Enterprise,463,0.3915
ORD-486,2025-01-06,Enterprise,406,0.4006
ORD-487,2025-01-15,Enterprise,535,0.3938
ORD-488,2025-01-03,Enterprise,539,0.3944
ORD-489,2025-01-26,Enterprise,506,0.4072
ORD-490,2025-01-27,Enterprise,339,0.4195
ORD-491,2025-01-01,Enterprise,549,0.405
ORD-492,2025-01-03,Enterprise,487,0.3857
ORD-493,2025-01-10,Enterprise,534,0.4222
ORD-494,2025-01-17,Enterprise,453,0.3986
ORD-495,2025-01-25,Enterprise,462,0.3875
ORD-496,2025-01-01,Enterprise,499,0.4213
ORD-497,2025-01-04,Enterprise,534,0.4064
ORD-498,2025-01-10,Enterprise,560,0.3703
ORD-499,2025-01-19,Enterprise,510,0.3793
ORD-500,2025-01-20,Enterprise,506,0.4061
ORD-501,2025-01-05,Enterprise,397,0.4279
ORD-502,2025-01-07,Enterprise,410,0.4199
ORD-503,2025-01-26,Enterprise,447,0.4042
ORD-504,2025-01-14,Enterprise,618,0.4178
ORD-505,2025-01-25,Enterprise,571,0.4199
ORD-506,2025-01-11,Enterprise,457,0.4357
ORD-507,2025-01-08,Enterprise,477,0.4065
ORD-508,2025-01-05,Enterprise,431,0.3948
ORD-509,2025-01-16,Enterprise,568,0.4212
ORD-510,2025-01-06,Enterprise,473,0.4307
ORD-511,2025-01-15,Enterprise,402,0.3807
ORD-512,2025-01-04,Enterprise,497,0.4111
ORD-513,2025-01-25,Enterprise,573,0.4439
ORD-514,2025-01-12,Enterprise,335,0.4094
ORD-515,2025-01-21,Enterprise,494,0.3759
ORD-516,2025-01-28,Enterprise,369,0.3712
ORD-517,2025-01-12,Enterprise,545,0.3835
ORD-518,2025-01-28,Enterprise,426,0.3996
ORD-519,2025-01-08,Enterprise,572,0.3902
ORD-520,2025-01-03,Enterprise,582,0.4031
ORD-521,2025-01-23,Enterprise,609,0.4221
ORD-522,2025-01-11,Enterprise,425,0.389
ORD-523,2025-01-17,Enterprise,707,0.4022
ORD-524,2025-01-11,Enterprise,511,0.4039
ORD-525,2025-01-26,Enterprise,572,0.4098
ORD-526,2025-01-19,Enterprise,455,0.3725
ORD-527,2025-01-02,Enterprise,488,0.399
ORD-528,2025-01-21,Enterprise,518,0.4075
ORD-529,2025-01-17,Enterprise,571,0.3591
ORD-530,2025-01-26,Enterprise,424,0.4297
ORD-531,2025-01-18,Enterprise,544,0.4148
ORD-532,2025-01-23,Enterprise,431,0.4079
ORD-533,2025-01-02,Enterprise,583,0.3985
ORD-534,2025-01-12,Enterprise,424,0.3924
ORD-535,2025-01-09,Enterprise,427,0.42
ORD-536,2025-01-27,Enterprise,382,0.4086
ORD-537,2025-01-06,Enterprise,433,0.3976
